dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.99,20000,30.0000,12.2117,17.7884,1209.0677,546.4115,662.6562,0.0000,0.0000,0.0000,39.3023,43.7451,36.2523,1.3530,18.2226,42.8770,0.6683,0.6675
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.99,20000,30.0000,12.2117,17.7884,1209.0677,546.4115,662.6562,0.0000,0.0000,0.0000,39.3023,43.7451,36.2523,1.3530,18.2226,42.8770,0.6775,0.6593
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.99,20000,30.0000,12.2117,17.7884,1209.0677,546.4115,662.6562,0.0000,0.0000,0.0000,39.3023,43.7451,36.2523,1.3530,18.2226,42.8770,0.6807,0.6725
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.99,20000,30.0000,12.2117,17.7884,1209.0677,546.4115,662.6562,0.0000,0.0000,0.0000,39.3023,43.7451,36.2523,1.3530,18.2226,42.8770,0.6750,0.6625
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.99,20000,30.0000,12.2117,17.7884,1209.0677,546.4115,662.6562,0.0000,0.0000,0.0000,39.3023,43.7451,36.2523,1.3530,18.2226,42.8770,0.6837,0.6623
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.99,20000,30.0000,12.2117,17.7884,1209.0677,546.4115,662.6562,0.0000,0.0000,0.0000,39.3023,43.7451,36.2523,1.3530,18.2226,42.8770,0.6717,0.6633
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.99,20000,30.0000,12.2117,17.7884,1209.0677,546.4115,662.6562,0.0000,0.0000,0.0000,39.3023,43.7451,36.2523,1.3530,18.2226,42.8770,0.7000,0.6512
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.99,20000,30.0000,12.2117,17.7884,1209.0677,546.4115,662.6562,0.0000,0.0000,0.0000,39.3023,43.7451,36.2523,1.3530,18.2226,42.8770,0.6597,0.6338
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.99,20000,30.0000,12.2117,17.7884,1209.0677,546.4115,662.6562,0.0000,0.0000,0.0000,39.3023,43.7451,36.2523,1.3530,18.2226,42.8770,0.6773,0.6747
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.99,20000,30.0000,12.2117,17.7884,1209.0677,546.4115,662.6562,0.0000,0.0000,0.0000,39.3023,43.7451,36.2523,1.3530,18.2226,42.8770,0.6950,0.6583
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.95,20000,30.0000,12.2117,17.7884,1157.8870,521.2523,636.6347,0.0000,0.0000,0.0000,37.5962,41.6848,34.7894,1.2433,18.2226,40.8792,0.7063,0.6358
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.95,20000,30.0000,12.2117,17.7884,1157.8870,521.2523,636.6347,0.0000,0.0000,0.0000,37.5962,41.6848,34.7894,1.2433,18.2226,40.8792,0.7090,0.6650
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.95,20000,30.0000,12.2117,17.7884,1157.8870,521.2523,636.6347,0.0000,0.0000,0.0000,37.5962,41.6848,34.7894,1.2433,18.2226,40.8792,0.6835,0.6617
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.95,20000,30.0000,12.2117,17.7884,1157.8870,521.2523,636.6347,0.0000,0.0000,0.0000,37.5962,41.6848,34.7894,1.2433,18.2226,40.8792,0.6950,0.6640
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.95,20000,30.0000,12.2117,17.7884,1157.8870,521.2523,636.6347,0.0000,0.0000,0.0000,37.5962,41.6848,34.7894,1.2433,18.2226,40.8792,0.7037,0.6825
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.95,20000,30.0000,12.2117,17.7884,1157.8870,521.2523,636.6347,0.0000,0.0000,0.0000,37.5962,41.6848,34.7894,1.2433,18.2226,40.8792,0.7020,0.6837
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.95,20000,30.0000,12.2117,17.7884,1157.8870,521.2523,636.6347,0.0000,0.0000,0.0000,37.5962,41.6848,34.7894,1.2433,18.2226,40.8792,0.6967,0.6787
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.95,20000,30.0000,12.2117,17.7884,1157.8870,521.2523,636.6347,0.0000,0.0000,0.0000,37.5962,41.6848,34.7894,1.2433,18.2226,40.8792,0.6985,0.6670
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.95,20000,30.0000,12.2117,17.7884,1157.8870,521.2523,636.6347,0.0000,0.0000,0.0000,37.5962,41.6848,34.7894,1.2433,18.2226,40.8792,0.7010,0.6810
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.95,20000,30.0000,12.2117,17.7884,1157.8870,521.2523,636.6347,0.0000,0.0000,0.0000,37.5962,41.6848,34.7894,1.2433,18.2226,40.8792,0.7047,0.6803
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.75,20000,30.0000,12.2117,17.7884,936.3163,420.2482,516.0681,0.0000,0.0000,0.0000,30.2105,33.4137,28.0116,0.7769,18.2226,32.3798,0.6993,0.6600
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.75,20000,30.0000,12.2117,17.7884,936.3163,420.2482,516.0681,0.0000,0.0000,0.0000,30.2105,33.4137,28.0116,0.7769,18.2226,32.3798,0.7025,0.6685
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.75,20000,30.0000,12.2117,17.7884,936.3163,420.2482,516.0681,0.0000,0.0000,0.0000,30.2105,33.4137,28.0116,0.7769,18.2226,32.3798,0.7063,0.6705
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.75,20000,30.0000,12.2117,17.7884,936.3163,420.2482,516.0681,0.0000,0.0000,0.0000,30.2105,33.4137,28.0116,0.7769,18.2226,32.3798,0.7165,0.6750
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.75,20000,30.0000,12.2117,17.7884,936.3163,420.2482,516.0681,0.0000,0.0000,0.0000,30.2105,33.4137,28.0116,0.7769,18.2226,32.3798,0.7023,0.6635
/home/pulls/tmp/eph-blocking-inf-april8-for-cf/limit-0.75,20000,30.0000,12.2117,17.7884,936.3163,420.2482,516.0681,0.0000,0.0000,0.0000,30.2105,33.4137,28.0116,0.7769,18.2226,32.3798,0.7085,0.6917
